City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Coquimbo,CL,-29.9533,-71.3436,58.73,82,0,6.91,clear sky
80,Coihaique,CL,-45.5752,-72.0662,57.81,67,40,3.44,scattered clouds
81,Pontes E Lacerda,BR,-15.2261,-59.3353,71.15,94,96,0.69,overcast clouds
82,Taoudenni,ML,22.6783,-3.9836,76.75,15,100,10.56,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,62.1,85,75,9.22,broken clouds
84,Klaksvik,FO,62.2266,-6.589,50.92,81,58,26.19,broken clouds
85,Hervey Bay,AU,-25.2986,152.8535,72.93,64,1,9.06,clear sky
86,Nikolskoye,RU,59.7035,30.7861,53.49,90,100,10.74,overcast clouds
87,Baykit,RU,61.67,96.37,22.64,87,100,12.48,overcast clouds
88,Bethel,US,41.3712,-73.414,68.49,88,100,3.0,heavy intensity rain
89,Naze,JP,28.3667,129.4833,72.52,93,100,15.79,overcast clouds
90,Honiara,SB,-9.4333,159.95,75.79,97,100,4.72,overcast clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,79.52,68,40,11.5,scattered clouds
92,Paranaiba,BR,-19.6772,-51.1908,71.55,85,100,5.39,overcast clouds
93,Goderich,CA,43.7501,-81.7165,53.92,87,100,9.22,overcast clouds
94,Ponta Do Sol,PT,32.6667,-17.1,66.7,81,59,3.53,broken clouds
95,Port Hedland,AU,-20.3167,118.5667,80.65,47,12,8.05,few clouds
96,Kirillov,RU,59.863,38.3813,46.94,84,48,11.01,scattered clouds
97,Kenai,US,60.5544,-151.2583,37.49,95,100,18.41,overcast clouds
98,San Luis,AR,-33.295,-66.3356,59.88,88,71,5.57,broken clouds
99,Chengde,CN,40.9725,117.9361,40.87,79,100,8.9,overcast clouds
100,Mount Gambier,AU,-37.8333,140.7667,63.37,63,100,9.06,light rain
101,Kaitangata,NZ,-46.2817,169.8464,66.51,48,100,7.38,overcast clouds
102,Esperance,AU,-33.8667,121.9,57.04,79,99,28.14,light rain
103,Shima,CN,24.4478,117.8111,75.22,70,0,2.37,clear sky
104,Khani,GE,41.9563,42.9566,35.17,76,6,4.12,clear sky
105,Shebalino,RU,51.2917,85.6772,26.29,75,100,7.25,overcast clouds
106,Zacatlan,MX,19.9333,-97.9667,58.69,80,0,4.68,clear sky
107,Bengkulu,ID,-3.8004,102.2655,78.66,79,100,3.85,overcast clouds
108,Katsuura,JP,35.1333,140.3,68.34,68,29,2.24,scattered clouds
109,Kampong Thum,KH,12.7111,104.8887,77.38,75,92,7.87,overcast clouds
110,Mehamn,NO,71.0357,27.8492,33.75,93,100,3.44,overcast clouds
111,Tura,IN,25.5198,90.2201,62.76,82,3,3.6,clear sky
112,Tasiilaq,GL,65.6145,-37.6368,35.76,66,100,25.77,overcast clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,73.24,91,100,10.45,light rain
114,Luderitz,NA,-26.6481,15.1594,56.68,84,23,5.79,few clouds
115,Tucuma,BR,-0.1833,-50.05,77.85,86,6,6.53,clear sky
116,Guerrero Negro,MX,27.9769,-114.0611,66.02,50,99,12.82,overcast clouds
117,Poum,NC,-20.2333,164.0167,76.87,76,48,7.96,scattered clouds
118,Nizhniy Kuranakh,RU,58.8353,125.4869,3.79,91,100,5.73,overcast clouds
119,Lebu,CL,-37.6167,-73.65,54.91,91,85,14.74,overcast clouds
120,Santa Rosa,PH,14.3122,121.1114,84.18,80,68,8.21,broken clouds
121,Oistins,BB,13.0667,-59.5333,80.69,78,20,12.66,few clouds
122,Velikiy Ustyug,RU,60.7644,46.3106,40.77,96,100,9.69,moderate rain
123,Kapaa,US,22.0752,-159.319,82.38,67,40,20.71,scattered clouds
124,Skogn,NO,63.7,11.2,47.59,87,100,20.2,light rain
125,Souillac,MU,-20.5167,57.5167,73.78,73,40,3.44,scattered clouds
126,Provideniya,RU,64.3833,-173.3,16.36,66,0,8.5,clear sky
127,Ilulissat,GL,69.2167,-51.1,12.22,85,100,4.61,overcast clouds
128,Mashhad,IR,36.297,59.6062,37.54,75,0,0.0,clear sky
129,Constitucion,CL,-35.3333,-72.4167,55.36,93,93,14.61,overcast clouds
130,Chuy,UY,-33.6971,-53.4616,60.96,94,4,7.34,clear sky
131,Lompoc,US,34.6391,-120.4579,65.01,66,0,6.91,clear sky
132,Te Anau,NZ,-45.4167,167.7167,62.62,63,100,2.39,overcast clouds
133,Tallahassee,US,30.4383,-84.2807,73.24,87,100,8.05,overcast clouds
134,Amahai,ID,-3.3333,128.9167,84.94,70,100,2.15,overcast clouds
135,Bougouni,ML,11.417,-7.479,73.04,29,85,2.53,overcast clouds
136,Hasaki,JP,35.7333,140.8333,69.22,72,31,7.45,scattered clouds
